slug,sponsor,drug,indication,application_type,pdufa_date,pdufa_matches_market_date,review_type,designations,prior_crl,crl_date,crl_reason_class,manufacturing_inspection_required,inspection_location,adcom_scheduled,risk_category,outcome,outcome_date,outcome_reason,eventually_approved,eventually_approved_date,source_url,enrichment_notes
fda-approves-axsome-therapeutics-axs-05,Axsome Therapeutics,"AXS-05 (Auvelity, dextromethorphan HBr / bupropion HCl)",Agitation associated with Alzheimer's dementia,sNDA,2026-04-30,yes,priority,Breakthrough,no,n/a,n/a,unknown,unknown,no,Clean desk review,Approved,2026-04-30,FDA approved AXS-05/Auvelity for agitation in Alzheimer's dementia on the 2026-04-30 PDUFA/resolve-by date.,yes,2026-04-30,https://www.globenewswire.com/news-release/2026/04/30/3285345/33090/en/axsome-therapeutics-announces-fda-approval-of-auvelity-dextromethorphan-hbr-and-bupropion-hcl-for-the-treatment-of-agitation-associated-with-dementia-due-to-alzheimer-s-disease.html; https://www.patientcareonline.com/view/fda-grants-priority-review-to-axs-05-for-agitation-in-alzheimer-disease-sets-april-2026-pdufa-date,New indication (drug already approved for MDD). First non-antipsychotic for AD agitation. NOTE: this 2026-04-30 DXM-product approval is what triggered the 'psychedelic in 2026' thematic market to resolve YES on a technicality.
fda-approves-cingulates-ctx-1301,Cingulate Inc.,"CTx-1301 (dexmethylphenidate, Precision Timed Release)",Attention-deficit/hyperactivity disorder (ADHD),NDA,2026-05-31,yes,standard,none,no,n/a,n/a,yes,domestic,no,CMC/manufacturing refile,CRL,2026-06-02,"FDA issued a CRL citing CMC requests, with no clinical safety/efficacy concerns; not approved by the 2026-05-31 resolve-by date.",pending,pending,https://www.biospace.com/press-releases/cingulate-receives-complete-response-letter-from-fda-for-ctx-1301; https://www.cingulate.com/news-releases/news-release-details/cingulate-announces-successful-transfer-ctx-1301; https://www.hcplive.com/view/fda-crl-ctx-1301-daily-dexmethylphenidate-adhd,"CRL 2026-06-02, CMC-only; FDA noted no safety/efficacy concerns. Resubmission planned. NDA was first-cycle (no prior CRL); crl_reason_class of THIS CRL = CMC/manufacturing. Commercial CDMO is Societal CDMO (Gainesville, GA, USA) -> inspection_location domestic; CRL said only 'our manufacturing partner'."
fda-approves-tonix-pharmaceuticals-tnx-102-sl-for-fibromyalgia-by-august-31,Tonix Pharmaceuticals,"TNX-102 SL (cyclobenzaprine HCl sublingual, Tonmya)",Fibromyalgia in adults,NDA,2025-08-15,yes,standard,Fast Track,no,n/a,n/a,unknown,unknown,no,Clean desk review,Approved,2025-08-15,"FDA approved Tonmya for fibromyalgia 2025-08-15, first new fibromyalgia therapy in 15+ years.",yes,2025-08-15,https://www.globenewswire.com/news-release/2025/08/15/3134450/28908/en/Tonix-Pharmaceuticals-Announces-FDA-Approval-of-Tonmya-cyclobenzaprine-HCl-sublingual-tablets-for-the-Treatment-of-Fibromyalgia.html; https://www.drugs.com/history/tonmya.html,No prior CRL for the fibromyalgia program (earlier RALLY Ph3 failed at interim but a second pivotal RESILIENT succeeded; first-cycle approval). Fast Track.
fda-approves-pharmather-holdings-ketamine-by-august-31,PharmaTher Holdings,"Ketamine (KETARx, racemic ketamine)",Anesthesia/sedation; surgical pain management (ketamine injection),ANDA,2025-08-08,yes,priority,none,yes,2024-10-22,CMC/manufacturing,yes,domestic,no,CMC/manufacturing refile,Approved,2025-08-08,"FDA approved KETARx (Priority ANDA, racemic ketamine) on 2025-08-08 (announced 08-11) on its third cycle, ahead of resolve-by.",yes,2025-08-08,https://www.globenewswire.com/news-release/2025/08/11/3130994/0/en/PharmaTher-Announces-FDA-Approval-of-Ketamine-KETARx.html; https://www.pharmather.com/news/pharmather-receives-complete-response-letter-from-the-us-food-and-drug-administration-for-ketamine-abbreviated-new-drug-application; https://www.alcami.com/news/pharmather-engages-alcami-for-clinical-and-commercial-manufacturing-of-novel-ketamine-products/,"CORRECTED: KETARx is an ANDA (generic racemic ketamine), NOT a 505(b)(2) — PharmaTher's filings call it a 'Priority Original ANDA' (GDUFA goal date 2024-10-29). Approved on its THIRD cycle after two CRLs (2024-04-18 and 2024-10-22); the 2024-10-22 CRL cited MINOR CMC deficiencies (drug substance, drug product, manufacturing, microbiology). crl_date = the later, decisive CRL. CDMO is Alcami Corp (Charleston, SC, USA) -> inspection_location domestic; CRL did not itself name the site."
fda-approves-mannkinds-afrezza,MannKind Corporation,Afrezza (insulin human inhalation powder),Mealtime insulin in pediatric/adolescent patients aged 6+,sBLA,2026-05-29,yes,standard,none,no,n/a,n/a,unknown,unknown,no,Clean desk review,Approved,2026-05-29,FDA approved the Afrezza pediatric sBLA (ages 6+) on the 2026-05-29 PDUFA/resolve-by date (INHALE-1).,yes,2026-05-29,https://www.globenewswire.com/news-release/2026/05/29/3303734/29517/en/mannkind-announces-fda-approval-of-afrezza-the-first-and-only-inhaled-mealtime-insulin-for-use-in-children-and-adolescents-aged-6-and-older-living-with-diabetes.html; https://www.contemporarypediatrics.com/view/fda-approves-inhaled-insulin-afrezza-for-children-and-adolescents-with-diabetes,Pediatric (6+) expansion; satisfies last postmarketing requirement.
fda-approves-a-psychedelic-for-medical-use-in-2026,(thematic market),(multiple/criteria-based),n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,no,Timeline bet,Approved,2026-04-30,Resolved YES on a technicality: FDA approved Auvelity (DXM-bupropion) for a new indication on 2026-04-30; DXM is on the market's qualifying-substance list.,yes,2026-04-30,https://polymarket.com/event/fda-approves-a-psychedelic-for-medical-use-in-2026; https://www.globenewswire.com/news-release/2026/04/30/3285345/33090/en/axsome-therapeutics-announces-fda-approval-of-auvelity-dextromethorphan-hbr-and-bupropion-hcl-for-the-treatment-of-agitation-associated-with-dementia-due-to-alzheimer-s-disease.html,"EXCLUDE FROM DRUG-BY-DRUG BASE RATE. Thematic market. Resolution rules list qualifying psychedelics incl. DXM; counts new-indication sNDA approvals of marketed drugs. Auvelity (DXM combo) new indication 2026-04-30 satisfied the literal criteria, resolving YES ~8 months early. Definitional/technicality resolution, not approval of a classic serotonergic psychedelic."
fda-approves-capricor-therapeutics-cap-1002-for-duchenne-muscular-dystrophy-by-august-31,Capricor Therapeutics,Deramiocel (CAP-1002),Duchenne muscular dystrophy (cardiomyopathy),BLA,2025-08-31,yes,standard,Orphan;RMAT,yes,2025-07-09,clinical/efficacy,unknown,unknown,no,CMC/manufacturing refile,CRL,2025-07-09,FDA issued a CRL citing need for additional efficacy data plus CMC clarifications; resolved No before Aug 31.,pending,pending,https://www.capricor.com/investors/news-events/press-releases/detail/319/capricor-therapeutics-provides-regulatory-update-on; https://www.capricor.com/investors/news-events/press-releases/detail/338/capricor-therapeutics-announces-establishment-of-new-pdufa; https://www.neurologylive.com/view/fda-hands-capricor-complete-response-letter-deramiocel-dmd-cardiomyopathy-treatment,"CRL 2025-07-09, primarily efficacy with CMC clarifications. HOPE-3 data submitted; new PDUFA 2026-08-22."
fda-approves-dordaviprone,Chimerix (acquired by Jazz Pharmaceuticals Apr 2025),"Dordaviprone (Modeyso, ONC201)",Recurrent H3 K27M-mutant diffuse midline glioma,NDA,2025-08-18,yes,priority,Breakthrough;Fast Track;Orphan;Priority Review Voucher;Accelerated Approval,no,n/a,n/a,unknown,unknown,no,Clean desk review,Approved,2025-08-06,"FDA granted accelerated approval 2025-08-06, ahead of the Aug 18 PDUFA; first systemic therapy for H3 K27M-mutant diffuse midline glioma.",yes,2025-08-06,https://www.fda.gov/drugs/resources-information-approved-drugs/fda-grants-accelerated-approval-dordaviprone-diffuse-midline-glioma; https://investor.jazzpharma.com/news-releases/news-release-details/jazz-pharmaceuticals-announces-us-fda-approval-modeysotm,Accelerated approval ~12 days early. Rare Pediatric Disease PRV requested.
fda-approves-ptc-therapeutics-vatiquinone-for-friedreichs-ataxia-by-august-31,PTC Therapeutics,Vatiquinone,Friedreich's ataxia,NDA,2025-08-19,no,standard,Orphan;Fast Track,yes,2025-08-19,clinical/efficacy,unknown,unknown,no,Timeline bet,CRL,2025-08-19,FDA issued a CRL 2025-08-19 stating substantial evidence of efficacy not demonstrated; additional well-controlled study needed.,pending,pending,https://ir.ptcbio.com/news-releases/news-release-details/ptc-therapeutics-receives-complete-response-letter-vatiquinone; https://www.prnewswire.com/news-releases/ptc-therapeutics-receives-complete-response-letter-for-vatiquinone-nda-302533332.html,Pure efficacy CRL (MOVE-FA missed primary endpoint). CRL date = the PDUFA action date. (prior_crl flags THIS cycle's CRL.)
fda-approves-ux111,Ultragenyx Pharmaceutical,"UX111 (ABO-102, AAV9 gene therapy)",Sanfilippo syndrome type A (MPS IIIA),BLA,2025-08-18,yes,priority,Breakthrough;Fast Track;Orphan;RMAT;Priority Review Voucher,yes,2025-07-11,CMC/manufacturing,yes,domestic,no,CMC/manufacturing refile,CRL,2025-07-11,FDA issued a CRL 2025-07-11 citing CMC observations and manufacturing-facility inspection findings; clinical/biomarker data deemed robust.,pending,pending,https://ir.ultragenyx.com/news-releases/news-release-details/ultragenyx-receives-complete-response-letter-fda-ux111-aav-gene; https://www.globenewswire.com/news-release/2025/07/11/3114278/20739/en/Ultragenyx-Receives-Complete-Response-Letter-from-FDA-for-UX111-AAV-Gene-Therapy-to-Treat-Sanfilippo-Syndrome-Type-A-MPS-IIIA.html,"CRL 2025-07-11 (before Aug 18 PDUFA), purely CMC/manufacturing; robust clinical data. Resubmitted Jan 2026; new PDUFA 2026-09-19. Manufacturing is US-only (Ultragenyx, Bedford MA + Andelyn Biosciences, Columbus OH) -> inspection_location domestic; CRL did not publicly single out which site held the observations."
fda-approves-precigens-prgn-2012-for-recurrent-respiratory-papillomatosis-by-august-31,Precigen,PRGN-2012 / Papzimeos (zopapogene imadenovec-drba),Recurrent respiratory papillomatosis (adults),BLA,2025-08-27,yes,priority,Breakthrough;Orphan;Accelerated Approval;Priority Review Voucher,no,n/a,n/a,unknown,unknown,no,Clean desk review,Approved,2025-08-14,"FDA granted full approval mid-Aug 2025, ahead of Aug 27 PDUFA; first immunotherapy for adult RRP.",yes,2025-08-14,https://www.fda.gov/news-events/press-announcements/fda-approves-first-immunotherapy-recurrent-respiratory-papillomatosis; https://investors.precigen.com/news-releases/news-release-details/precigen-announces-full-fda-approval-papzimeos-zopapogene,Full (not accelerated) approval ahead of PDUFA; outcome_date approximate (mid-Aug 2025).
fda-approves-grace-therapeutics-gtx-104,Grace Therapeutics,GTx-104 (IV nimodipine),Aneurysmal subarachnoid hemorrhage (aSAH),505(b)(2),2026-04-23,yes,standard,none,no,n/a,n/a,yes,unknown,no,CMC/manufacturing refile,CRL,2026-04-23,"FDA issued a CRL 2026-04-23 citing CMC (packaging leachables, CMO manufacturing deficiencies) and nonclinical (tox risk assessments); no additional clinical data requested.",pending,pending,https://www.globenewswire.com/news-release/2026/04/23/3280288/0/en/Grace-Therapeutics-Provides-Regulatory-Update-on-New-Drug-Application-for-GTx-104.html; https://www.biospace.com/press-releases/grace-therapeutics-provides-regulatory-update-on-new-drug-application-for-gtx-104,CRL on the resolve-by date itself. Market sat ~71% Yes 1 day out then resolved No = the flagship blindside/surprise. crl_reason_class CMC dominant; nonclinical also cited. (prior_crl flags THIS cycle's CRL; it was the first cycle.)
fda-approves-gileads-lenacapavir-for-treating-hiv-human-immunodeficiency-virus,Gilead Sciences,lenacapavir (Yeztugo),"HIV-1 pre-exposure prophylaxis (PrEP), adults and adolescents >=35 kg",NDA,2025-06-19,yes,priority,Breakthrough,no,n/a,n/a,unknown,unknown,no,Clean desk review,Approved,2025-06-18,"FDA approved Yeztugo 2025-06-18, first twice-yearly injectable HIV PrEP, one day before resolve-by.",yes,2025-06-18,https://www.gilead.com/news/news-details/2025/yeztugo-lenacapavir-is-now-the-first-and-only-fda-approved-hiv-prevention-option-offering-6-months-of-protection,PURPOSE 1/2 Ph3; capsid inhibitor.
fda-approves-mercks-clesrovimab-infant-rsv-prevention-mk1654,Merck,"clesrovimab-cfor (Enflonsia, MK-1654)",Prevention of RSV LRTD in infants in first RSV season,BLA,2025-06-17,yes,standard,none,no,n/a,n/a,unknown,unknown,no,Clean desk review,Approved,2025-06-09,"FDA approved Enflonsia (long-acting RSV mAb) 2025-06-09, ahead of resolve-by.",yes,2025-06-09,https://www.merck.com/news/u-s-fda-approves-mercks-enflonsia-clesrovimab-cfor-for-prevention-of-respiratory-syncytial-virus-rsv-lower-respiratory-tract-disease-in-infants/; https://www.cdc.gov/mmwr/volumes/74/wr/mm7432a3.htm,Fixed 105-mg dose; CLEVER Ph2b/3.
fda-approves-mercks-doravirineislatravir,Merck,doravirine/islatravir (Idvynso),HIV-1 in virologically suppressed adults switching regimen,NDA,2026-04-28,yes,standard,none,no,n/a,n/a,unknown,unknown,no,Clean desk review,Approved,2026-04-21,"FDA approved Idvynso 2026-04-21, ahead of the 2026-04-28 PDUFA/resolve-by.",yes,2026-04-21,https://www.merck.com/news/u-s-fda-accepts-new-drug-application-for-mercks-doravirine-islatravir-an-investigational-once-daily-oral-two-drug-regimen-for-treatment-of-adults-with-virologically-suppressed-hiv-1-infe/; https://www.eatg.org/hiv-news/press-release-fda-approves-mercks-once-daily-idvynso-doravirine-islatravir/,Islatravir had clinical HOLDS in 2021 (resolved via lower dose) but the NDA itself had no CRL; first-cycle approval.
fda-approves-gsk-spero-therapeutics-tebipenem-hbr-06-18-2026,GSK / Spero Therapeutics,tebipenem pivoxil hydrobromide (tebipenem HBr),Complicated UTI incl. acute pyelonephritis,NDA,2026-06-18,yes,unknown,QIDP;Fast Track,yes,2022-06-30,clinical/efficacy,unknown,unknown,no,Timeline bet,pending,pending,Resubmitted NDA under review; PDUFA 2026-06-18; no decision as of 2026-06-09.,pending,pending,https://www.gsk.com/en-gb/media/press-releases/positive-pivot-po-phase-iii-data-show-tebipenem-hbr-s-potential-as-the-first-oral-carbapenem-antibiotic-for-patients-with-complicated-urinary-tract-infections-cutis/; https://www.globenewswire.com/news-release/2026/05/13/3294434/0/en/spero-therapeutics-announces-first-quarter-2026-operating-results-and-provides-business-update.html,"PRIOR CRL June 2022 (Spero), trial-participant classification in ADAPT-PO (clinical/efficacy). New PIVOT-PO Ph3 supports resubmission (Dec 2025). crl_date approximate."
fda-approves-donidalorsen-for-hereditary-angioedema-by-august-31,Ionis Pharmaceuticals,donidalorsen (Dawnzera),"Prophylaxis of hereditary angioedema (HAE) attacks, age 12+",NDA,2025-08-21,yes,standard,none,no,n/a,n/a,unknown,unknown,no,Clean desk review,Approved,2025-08-21,"FDA approved Dawnzera, first RNA-targeted prophylactic HAE therapy, on the 2025-08-21 PDUFA/resolve-by date.",yes,2025-08-21,https://ir.ionis.com/news-releases/news-release-details/dawnzeratm-donidalorsen-approved-us-first-and-only-rna-targeted; https://www.biopharmadive.com/news/ionis-donidalorsen-dawnzera-hereditary-angioedema-approval-fda/758195/,Antisense targeting prekallikrein; OASIS-HAE.
fda-approves-insmeds-brensocatib-for-bronchiectasis-by-august-31,Insmed,brensocatib (Brinsupri),"Non-cystic fibrosis bronchiectasis (NCFB), age 12+",NDA,2025-08-12,yes,priority,Breakthrough,no,n/a,n/a,unknown,unknown,no,Clean desk review,Approved,2025-08-12,"FDA approved Brinsupri, first treatment for non-CF bronchiectasis and first DPP1 inhibitor, on the 2025-08-12 PDUFA/resolve-by date.",yes,2025-08-12,"https://investor.insmed.com/2025-08-12-FDA-Approves-BRINSUPRI-TM-brensocatib-as-the-First-and-Only-Treatment-for-Non-Cystic-Fibrosis-Bronchiectasis,-a-Serious,-Chronic-Lung-Disease; https://www.fda.gov/drugs/drug-approvals-and-databases/drug-trials-snapshots-brinsupri",Breakthrough + Priority; Ph3 ASPEN (n>1700).
fda-approves-filspari-rems-modification-for-igan-by-august-31,Travere Therapeutics,FILSPARI (sparsentan),IgA nephropathy (REMS/label modification),sNDA,2025-08-28,no,standard,Orphan,no,n/a,n/a,no,n/a,no,Clean desk review,Approved,2025-08-27,"FDA approved a REMS/label modification (reduced LFT monitoring; removed embryo-fetal monitoring), ahead of the Aug 28 resolve-by.",yes,2025-08-27,https://ir.travere.com/press-releases/news-details/2025/Travere-Therapeutics-Announces-U-S--FDA-Approves-REMS-Modification-for-FILSPARI-sparsentan-in-IgA-Nephropathy/default.aspx; https://www.hcplive.com/view/fda-approves-rems-label-update-for-sparsentan-filspari-in-iga-nephropathy,REMS/labeling supplement to already-approved drug (not a new molecule). Clean supplement.
fda-approves-unicycives-oxylanthanum-carbonate-olc,Unicycive Therapeutics,Oxylanthanum carbonate (OLC),Hyperphosphatemia in CKD on dialysis,505(b)(2),2025-06-28,yes,standard,none,no,n/a,n/a,yes,foreign,no,CMC/manufacturing refile,CRL,2025-06-30,FDA issued a CRL citing a single deficiency tied to a third-party manufacturing vendor's compliance status; no clinical/safety/nonclinical concerns.,pending,pending,https://www.hcplive.com/view/fda-issues-crl-oxylanthanum-carbonate-hyperphosphatemia-ckd-dialysis; https://ir.unicycive.com/news/detail/118/update---unicycive-therapeutics-announces-fda-acceptance-of,"CRL 2025-06-30 (this was the first FDA action, so prior_crl=no for THIS cycle). Sole deficiency = CMC/third-party vendor. Resubmitted Dec 2025; new PDUFA 2026-06-29 (see open refile market)."
fda-approves-telix-pharmaceuticals-tlx250-cdx-for-kidney-cancer-imaging-by-august-31,Telix Pharmaceuticals,"TLX250-CDx (Zircaix, 89Zr-DFO-girentuximab)",PET imaging of clear cell renal cell carcinoma,BLA,2025-08-27,yes,priority,none,no,n/a,n/a,yes,foreign,no,CMC/manufacturing refile,CRL,2025-08-28,FDA issued a CRL citing CMC deficiencies (comparability of Ph3 vs commercial-scale product; Form 483 observations at two third-party partners).,pending,pending,https://www.sec.gov/Archives/edgar/data/0002007191/000200719125000065/zircprcrl.htm; https://www.urologytimes.com/view/fda-issues-complete-response-letter-for-89zr-dfo-girentuximab-in-ccrcc,"CRL 2025-08-28, purely CMC. Priority review granted (designations set conservatively to none). First FDA action (prior_crl=no for this cycle)."
